,PLAYER,DIST_MI_DEF,AVG_SPEED_DEF
235,Jeff Teague,0.98,3.68
236,Jeff Withey,0.13,3.75
237,Jerami Grant,0.70,4.05
238,Jeremy Evans,0.17,4.48
239,Jeremy Lamb,0.83,4.10
240,Jeremy Lin,0.92,4.54
241,Jerian Grant,0.78,4.00
242,Jerryd Bayless,0.81,4.02
243,Jimmy Butler,1.20,4.10
244,Joakim Noah,0.20,4.14
245,Jodie Meeks,0.49,4.12
246,Joe Harris,0.84,4.10
247,Joe Ingles,1.02,4.04
248,Joe Johnson,0.66,3.77
249,Joe Young,0.41,4.77
250,Joel Bolomboy,0.19,4.37
251,Joel Embiid,0.96,3.71
252,Joffrey Lauvergne,0.32,3.94
253,John Collins,0.82,4.10
254,John Henson,0.88,3.92
255,John Holland,0.23,3.96
256,John Wall,1.03,3.58
257,Johnathan Motley,0.50,3.75
258,Johnny O'Bryant III,0.35,4.15
259,Jon Leuer,0.60,4.30
260,Jonas Jerebko,0.51,4.11
261,Jonas Valanciunas,0.74,4.00
262,Jonathan Gibson,0.35,4.17
263,Jonathan Isaac,0.66,4.08
264,Jonathon Simmons,1.01,4.11
265,Jordan Bell,0.51,4.17
266,Jordan Clarkson,0.80,4.06
267,Jordan Crawford,0.23,3.88
268,Jordan Mickey,0.41,4.15
269,Jose Calderon,0.55,4.21
270,Josh Gray,0.62,4.48
271,Josh Hart,0.83,4.11
272,Josh Huestis,0.52,4.31
273,Josh Jackson,0.88,4.10
274,Josh Magette,0.39,4.04
275,Josh McRoberts,0.09,4.61
276,Josh Richardson,1.12,4.12
277,Josh Smith,0.13,3.80
278,Jrue Holiday,1.24,3.92
279,Juancho Hernangomez,0.36,4.17
280,Julius Randle,0.85,3.74
281,Julyan Stone,0.25,3.91
282,Justin Anderson,0.46,3.97
283,Justin Holiday,1.09,4.09
284,Justin Jackson,0.75,4.13
285,Justin Patton,0.13,2.47
286,Justise Winslow,0.84,4.15
287,Jusuf Nurkic,0.84,3.92
288,Kadeem Allen,0.19,3.90
289,Karl-Anthony Towns,1.14,3.98
290,Kawhi Leonard,0.76,4.05
291,Kay Felder,0.31,4.18
292,Kelly Olynyk,0.76,3.98
293,Kelly Oubre Jr.,0.92,4.07
294,Kemba Walker,1.06,3.73
295,Kendrick Perkins,0.43,3.13
296,Kenneth Faried,0.47,4.01
297,Kent Bazemore,0.96,4.24
298,Kentavious Caldwell-Pope,1.14,4.03
299,Kevin Durant,1.08,3.62
300,Kevin Love,0.94,4.09
301,Kevon Looney,0.48,4.18
302,Khem Birch,0.45,4.09
303,Khris Middleton,1.20,3.82
304,Klay Thompson,1.18,3.93
305,Kobi Simmons,0.69,4.26
306,Kosta Koufos,0.66,4.16
307,Kris Dunn,1.02,4.09
308,Kristaps Porzingis,1.02,3.81
309,Kyle Anderson,0.88,4.10
310,Kyle Collinsworth,0.55,4.47
311,Kyle Korver,0.76,4.12
312,Kyle Kuzma,1.07,4.03
313,Kyle Lowry,1.02,3.80
314,Kyle O'Quinn,0.57,3.91
315,Kyle Singler,0.11,3.89
316,Kyrie Irving,1.02,3.79
317,LaMarcus Aldridge,1.06,3.97
318,Lance Stephenson,0.72,3.89
319,Lance Thomas,0.66,4.39
320,Langston Galloway,0.52,4.14
321,Larry Drew II,0.25,4.30
322,Larry Nance Jr.,0.77,4.11
323,Lauri Markkanen,0.97,3.86
324,LeBron James,1.12,3.66
325,London Perrantes,0.14,3.69
326,Lonzo Ball,1.18,4.03
327,Lorenzo Brown,0.36,4.22
328,Lou Williams,1.02,3.66
329,Luc Mbah a Moute,0.83,3.86
330,Lucas Nogueira,0.28,3.98
331,Luis Montero,0.15,4.61
332,Luke Babbitt,0.48,4.18
333,Luke Kennard,0.67,4.06
334,Luke Kornet,0.54,3.99
335,Luol Deng,0.51,4.35
336,Malachi Richardson,0.39,3.84
337,Malcolm Brogdon,1.01,3.93
338,Malcolm Delaney,0.60,3.89
339,Malcolm Miller,0.30,4.53
340,Malik Beasley,0.33,4.18
