,PLAYER,DREB%,%DREB,STL%,%BLK
225,Rodney Hood,9.1,13.0,17.6,8.5
226,Garrett Temple,8.4,12.3,21.1,18.0
227,Shelvin Mack,10.2,15.7,25.5,5.6
228,Eric Moreland,24.3,36.9,21.2,72.9
229,Evan Fournier,8.4,12.6,14.9,8.7
230,Frank Mason,10.7,16.1,19.8,10.4
231,Ian Clark,7.4,11.2,14.2,5.8
232,Ivica Zubac,16.8,23.3,13.3,34.9
233,Isaiah Whitehead,11.3,15.5,33.3,14.3
234,Quincy Acy,15.3,22.1,19.4,23.8
235,Jaylen Morris,12.5,18.4,15.4,8.3
236,Rondae Hollis-Jefferson,17.5,25.5,27.1,23.3
237,Semi Ojeleye,10.6,15.3,11.9,4.3
238,Mike James,10.4,15.3,28.0,9.2
239,Dante Cunningham,13.3,19.7,15.9,18.3
240,Willie Cauley-Stein,19.7,29.1,22.4,38.1
241,Tyus Jones,8.3,12.2,35.1,4.7
242,James Ennis III,9.6,14.3,19.3,9.8
243,Wesley Johnson,12.2,17.9,28.5,38.8
244,DeAndre Jordan,33.9,48.5,10.8,33.8
245,Jarell Martin,13.9,20.8,15.3,27.5
246,Nicolas Brussino,20.0,25.0,0.0,0.0
247,Travis Wear,16.3,22.1,13.3,22.7
248,Dennis Smith Jr.,10.6,15.0,23.1,11.7
249,Okaro White,9.9,13.8,16.7,16.7
250,Tobias Harris,14.5,20.9,17.2,18.5
251,Raymond Felton,9.7,15.0,20.9,10.7
252,Andrew Harrison,8.5,12.4,21.0,19.4
253,Malcolm Delaney,9.0,13.9,21.7,7.4
254,Jonas Jerebko,17.5,24.4,12.3,12.4
255,Trevor Booker,17.2,25.0,14.7,20.6
256,Wes Iwundu,10.0,14.7,20.5,13.0
257,Brook Lopez,12.0,16.7,11.0,54.1
258,Jamil Wilson,10.0,14.4,13.5,24.2
259,Tyler Zeller,16.8,23.4,10.0,36.5
260,Jack Cooley,18.4,26.7,8.3,0.0
261,Josh Hart,14.3,20.9,21.6,13.0
262,C.J. Williams,5.8,8.7,27.9,18.8
263,Jarrett Jack,10.6,15.4,18.3,2.3
264,Maxi Kleber,13.7,19.2,16.0,38.2
265,Darius Miller,7.0,10.4,9.3,7.9
266,Wesley Matthews,8.5,12.2,24.1,9.5
267,Alec Burks,16.8,23.4,22.3,7.4
268,David West,16.3,24.2,27.0,44.4
269,Emeka Okafor,17.5,26.4,13.6,39.1
270,Noah Vonleh,26.5,36.7,14.7,23.3
271,Lauri Markkanen,21.7,28.8,12.7,25.5
272,Nick Young,7.1,10.6,17.0,3.2
