,PLAYER,TEAM,AGE,GP,MIN,SCREEN_AST,DEFL,LB_REC,CHARGES_DRAWN,CONT_2PT,CONT_3PT,CONT_ALL
125,Derrick White,SAS,23,17,8.0,0.1,0.5,0.3,0.06,1.0,1.5,2.5
126,Derrick Williams,LAL,27,2,4.0,0.0,0.0,0.0,0.00,0.5,0.5,1.0
127,Devin Booker,PHX,21,54,35.0,0.5,1.4,1.2,0.07,2.9,3.3,6.2
128,Devin Harris,DEN,35,71,19.0,0.1,1.3,0.8,0.17,1.4,1.5,2.9
129,Devin Robinson,WAS,23,1,13.0,0.0,1.0,0.0,1.00,2.0,2.0,4.0
130,Dewayne Dedmon,ATL,28,62,25.0,2.8,1.3,1.0,0.06,5.8,2.8,8.6
131,Deyonta Davis,MEM,21,62,15.0,2.1,0.7,0.3,0.00,4.6,1.0,5.6
132,Dillon Brooks,MEM,22,82,29.0,0.1,1.7,0.8,0.06,3.7,3.9,7.6
133,Dion Waiters,MIA,26,30,31.0,0.3,1.5,0.7,0.00,4.2,3.0,7.2
134,Dirk Nowitzki,DAL,40,77,25.0,2.0,1.0,0.4,0.00,5.6,1.6,7.2
135,Domantas Sabonis,IND,22,74,24.0,3.8,1.0,0.7,0.03,6.5,1.9,8.3
136,Donovan Mitchell,UTA,21,79,33.0,0.1,2.3,1.0,0.01,3.7,2.9,6.6
137,Dorian Finney-Smith,DAL,25,21,21.0,0.2,0.9,0.7,0.05,2.6,2.0,4.7
138,Doug McDermott,DAL,26,81,22.0,0.2,0.5,0.5,0.00,2.0,2.1,4.1
139,Dragan Bender,PHX,20,82,25.0,1.6,0.5,0.4,0.00,6.8,3.8,10.6
140,Draymond Green,GSW,28,70,33.0,1.8,3.1,0.9,0.07,8.0,4.0,11.9
141,Dwayne Bacon,CHA,22,53,13.0,0.1,0.3,0.3,0.00,1.6,1.7,3.3
142,Dwight Buycks,DET,29,29,15.0,0.1,1.5,0.3,0.07,1.3,1.6,2.8
143,Dwight Howard,CHA,32,81,30.0,4.2,1.6,0.6,0.00,7.2,1.6,8.8
144,Dwight Powell,DAL,26,79,21.0,2.1,1.7,0.9,0.09,5.5,3.1,8.6
145,Dwyane Wade,MIA,36,67,23.0,0.3,1.9,0.9,0.01,2.7,2.3,5.0
146,E'Twaun Moore,NOP,29,82,32.0,0.2,1.7,1.3,0.00,4.0,2.4,6.4
147,Ed Davis,POR,29,78,19.0,3.6,0.8,0.6,0.01,6.0,0.9,6.9
148,Edmond Sumner,IND,22,1,2.0,-,-,-,-,-,-,-
149,Ekpe Udoh,UTA,31,63,13.0,2.4,1.1,0.5,0.00,5.3,1.2,6.4
150,Elfrid Payton,PHX,24,63,29.0,0.5,2.3,1.6,0.00,3.3,2.8,6.1
151,Emeka Okafor,NOP,35,26,14.0,1.1,0.7,0.4,0.04,5.0,0.8,5.9
152,Emmanuel Mudiay,NYK,22,64,19.0,0.2,1.1,0.7,0.02,1.5,1.9,3.4
153,Enes Kanter,NYK,26,71,26.0,2.9,1.0,0.7,0.00,7.1,1.6,8.7
154,Eric Bledsoe,MIL,28,74,31.0,0.5,3.4,1.4,0.04,4.0,3.0,7.0
155,Eric Gordon,HOU,29,69,31.0,0.3,1.4,0.9,0.03,2.4,2.4,4.8
