,PLAYER,TEAM,GP,W,L,MIN,DREB,CONTESTED_DREB,CONTEST_DREB%,DREB_CHANCES,DREB_CHANCE%,DEFER_DREB_CHANCE,ADJ_DREB_CHANCE%,AVG_DREB_DIST
526,Willie Cauley-Stein,SAC,73,23,50,28.0,5.2,1.4,26.6,8.8,58.7,0.5,61.9,4.7
527,Willie Reed,DET,42,20,22,10.2,2.0,0.6,31.4,4.0,51.5,0.3,55.5,4.8
528,Willy Hernangomez,CHA,48,20,28,10.3,2.5,0.8,31.1,4.0,62.9,0.4,70.5,4.1
529,Wilson Chandler,DEN,74,41,33,31.7,4.0,0.9,23.3,6.2,64.3,0.4,68.7,7.1
530,Xavier Munford,MIL,6,2,4,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531,Xavier Rathan-Mayes,MEM,5,0,5,23.6,1.0,0.0,0.0,2.0,50.0,0.0,50.0,10.0
532,Xavier Silas,BOS,2,1,1,3.7,0.5,0.0,0.0,1.0,50.0,0.0,50.0,5.9
533,Yogi Ferrell,DAL,82,24,58,27.8,2.7,0.5,17.5,5.3,50.9,0.5,56.2,8.1
534,Zach Collins,POR,66,41,25,15.8,2.7,0.8,31.8,4.7,57.0,0.3,60.7,5.1
535,Zach LaVine,CHI,24,9,15,27.3,3.5,0.7,18.8,5.4,65.9,0.3,69.7,6.7
536,Zach Randolph,SAC,59,18,41,25.6,5.1,1.4,27.0,8.0,63.3,0.6,68.3,4.3
537,Zaza Pachulia,GSW,68,46,22,14.0,3.3,0.9,26.5,5.9,56.6,0.4,61.1,4.3
538,Zhou Qi,HOU,18,14,4,6.9,0.9,0.4,50.0,1.8,48.5,0.1,51.6,4.7
