,PLAYER,TEAM,GP,W,L,MIN,DREB,CONTESTED_DREB,CONTEST_DREB%,DREB_CHANCES,DREB_CHANCE%,DEFER_DREB_CHANCE,ADJ_DREB_CHANCE%,AVG_DREB_DIST
139,Draymond Green,GSW,69,47,22,32.6,6.6,1.9,28.8,11.4,57.6,0.6,61.0,5.0
140,Dwayne Bacon,CHA,53,25,28,13.5,2.3,0.5,22.5,3.4,67.0,0.2,71.4,6.0
141,Dwight Buycks,DET,29,10,19,14.7,1.0,0.1,10.3,2.6,38.2,0.3,43.3,8.2
142,Dwight Howard,CHA,81,35,46,30.4,9.3,2.9,31.3,13.8,67.7,0.8,72.1,3.8
143,Dwight Powell,DAL,79,23,56,21.2,3.9,1.1,26.9,6.6,59.2,0.6,65.2,5.3
144,Dwyane Wade,MIA,67,37,30,22.9,3.0,0.7,22.3,5.5,55.0,0.6,61.2,6.5
145,E'Twaun Moore,NOP,80,47,33,31.6,2.3,0.5,20.0,4.4,50.8,0.4,56.4,9.5
146,Ed Davis,POR,78,48,30,18.9,5.0,1.6,31.1,8.4,60.0,0.7,65.4,4.0
147,Edmond Sumner,IND,1,0,1,2.2,1.0,0.0,0.0,1.0,100,0.0,100,6.5
148,Ekpe Udoh,UTA,63,36,27,12.9,1.3,0.5,35.4,3.1,41.4,0.4,47.1,5.4
149,Elfrid Payton,PHX,63,13,50,28.7,3.3,0.4,12.4,5.4,62.1,0.3,65.4,8.0
150,Emeka Okafor,NOP,26,16,10,13.6,2.8,1.0,34.2,6.1,45.9,0.7,51.4,5.3
151,Emmanuel Mudiay,NYK,64,29,35,19.4,2.0,0.3,15.9,3.3,60.0,0.2,63.6,8.0
152,Enes Kanter,NYK,70,26,44,25.8,7.2,2.1,28.6,11.8,61.2,0.9,66.5,4.0
153,Eric Bledsoe,MIL,74,40,34,31.4,3.1,0.6,18.5,6.0,52.1,0.5,56.8,9.0
154,Eric Gordon,HOU,68,55,13,31.2,2.1,0.3,12.1,3.6,58.0,0.2,61.6,8.9
155,Eric Moreland,DET,67,32,35,12.0,2.9,0.9,29.9,5.0,58.3,0.3,62.1,4.1
156,Erik McCree,UTA,4,4,0,1.9,0.3,0.0,0.0,0.3,100,0.0,100,0.8
