,PLAYER,15FREQ,15DFGM,15DFGA,15DFG%
503,Derrick Williams,100.0%,0.0,1.0,0.0
504,Vincent Hunter,50.0%,1.0,1.0,100
505,Jarell Eddie,33.3%,1.0,1.0,100
506,Xavier Munford,57.1%,0.5,1.0,50.0
507,Tyler Lydon,50.0%,1.0,1.0,100
508,Jacob Pullen,66.7%,0.0,1.0,0.0
509,Luis Montero,66.7%,0.0,1.0,0.0
510,Chris McCullough,45.2%,0.4,1.0,35.7
511,Nicolas Brussino,66.7%,0.0,1.0,0.0
512,Anthony Brown,100.0%,1.0,1.0,100
513,David Stockton,60.0%,0.7,1.0,66.7
514,Marcus Paige,66.7%,0.0,1.0,0.0
515,D.J. Wilson,35.5%,0.4,1.0,36.4
516,Kendrick Perkins,33.3%,0.0,1.0,0.0
517,Reggie Hearn,100.0%,0.0,1.0,0.0
518,Damian Jones,29.3%,0.4,0.9,41.7
519,Alfonzo McKinnie,45.0%,0.1,0.9,11.1
520,Darrell Arthur,25.5%,0.4,0.9,42.9
521,Kyle Singler,45.5%,0.2,0.8,20.0
522,Cole Aldrich,50.0%,0.3,0.8,44.4
523,Thomas Bryant,28.1%,0.2,0.7,22.2
524,Tim Quarterman,50.0%,0.3,0.7,50.0
525,Mangok Mathiang,28.6%,0.0,0.7,0.0
526,Nick Collison,28.6%,0.1,0.6,16.7
527,PJ Dozier,25.0%,0.0,0.5,0.0
528,Matt Williams Jr.,50.0%,0.0,0.5,0.0
529,Ben Moore,50.0%,0.0,0.5,0.0
530,James Michael McAdoo,12.5%,0.0,0.3,0.0
531,Ike Anigbogu,10.0%,0.1,0.2,50.0
