,PLAYER,DREB,CONTEST_DREB%,DEFER_DREB_CHANCE,AVG_DREB_DIST
162,Frank Ntilikina,1.8,21.6,0.3,9.4
163,Fred VanVleet,2.1,15.7,0.3,8.8
164,Furkan Korkmaz,0.6,0.0,0.0,8.5
165,Garrett Temple,2.0,14.6,0.3,8.3
166,Gary Harris,2.1,13.7,0.2,9.3
167,Gary Payton II,1.3,19.4,0.1,4.5
168,George Hill,2.1,18.7,0.3,8.7
169,Georges Niang,0.7,0.0,0.0,7.6
170,Georgios Papagiannis,1.4,37.5,0.0,3.8
171,Gerald Green,2.9,11.9,0.2,6.6
172,Gian Clavell,0.9,16.7,0.1,6.6
173,Giannis Antetokounmpo,7.9,24.5,0.7,5.7
174,Glenn Robinson III,1.1,19.2,0.1,7.4
175,Goran Dragic,3.3,13.5,0.6,9.1
176,Gordon Hayward,1.0,0.0,0.0,21.8
177,Gorgui Dieng,3.2,31.1,0.3,5.3
178,Greg Monroe,4.7,36.2,0.5,3.9
179,Guerschon Yabusele,1.1,22.9,0.3,6.0
180,Harrison Barnes,5.1,18.9,0.7,6.1
181,Hassan Whiteside,8.2,36.9,0.8,3.5
182,Henry Ellenson,1.9,25.4,0.2,5.4
183,Ian Clark,1.6,11.2,0.3,9.2
184,Ian Mahinmi,2.3,31.1,0.5,5.3
185,Ike Anigbogu,0.4,25.0,0.2,9.3
186,Iman Shumpert,2.4,17.6,0.2,6.7
187,Isaiah Canaan,2.0,12.8,0.2,7.3
188,Isaiah Hicks,1.7,29.0,0.3,5.9
189,Isaiah Taylor,1.1,18.1,0.2,9.5
190,Isaiah Thomas,1.6,18.0,0.3,10.9
191,Isaiah Whitehead,1.2,27.8,0.1,8.0
192,Ish Smith,2.4,16.8,0.5,8.6
193,Ivan Rabb,2.9,37.1,0.3,5.2
194,Ivica Zubac,1.8,38.5,0.3,4.0
195,J.J. Barea,2.7,9.1,0.4,8.4
196,JJ Redick,2.3,10.5,0.3,10.0
197,JR Smith,2.6,16.0,0.4,8.5
198,JaKarr Sampson,2.6,12.3,0.4,4.5
199,JaMychal Green,5.8,23.7,0.3,4.8
200,JaVale McGee,1.7,44.3,0.2,5.1
201,Jabari Bird,1.0,7.7,0.1,7.7
202,Jabari Parker,3.5,16.5,0.4,6.5
203,Jack Cooley,2.3,25.0,0.1,6.3
204,Jacob Pullen,0.0,0.0,0.0,0.0
205,Jacob Wiley,2.3,0.0,0.3,3.3
206,Jae Crowder,2.7,19.4,0.3,6.6
207,Jahlil Okafor,2.3,37.5,0.3,4.5
208,Jake Layman,0.3,16.7,0.1,6.6
209,Jakob Poeltl,2.8,49.6,0.6,4.0
210,Jalen Jones,1.6,12.0,0.1,5.6
211,Jamal Crawford,1.0,3.8,0.1,11.6
212,Jamal Murray,2.7,17.2,0.4,7.8
213,Jameel Warney,1.7,20.0,0.0,5.1
214,Jameer Nelson,1.8,12.2,0.3,8.2
215,Jamel Artis,2.3,26.5,0.3,6.9
216,James Ennis III,2.0,25.4,0.2,5.6
217,James Harden,4.8,13.7,0.5,7.4
218,James Johnson,4.0,21.0,0.4,5.4
219,James Michael McAdoo,0.7,50.0,0.0,6.8
220,James Webb III,1.6,6.3,0.5,5.0
221,James Young,0.3,0.0,0.0,9.4
222,Jamil Wilson,1.9,24.1,0.3,6.4
223,Jared Dudley,1.8,18.6,0.3,7.1
224,Jarell Eddie,0.3,100,0.0,2.8
225,Jarell Martin,3.0,24.0,0.5,5.0
226,Jarrett Allen,3.4,26.7,0.5,4.9
227,Jarrett Jack,2.7,6.7,0.2,9.9
228,Jason Smith,1.1,40.0,0.2,4.9
229,Jason Terry,0.8,14.0,0.1,11.0
230,Jawun Evans,1.6,24.0,0.4,7.4
231,Jaylen Brown,4.0,22.3,0.4,6.2
232,Jaylen Morris,2.3,14.3,0.2,8.8
233,Jayson Tatum,4.4,18.5,0.4,6.5
234,Jeff Green,2.4,36.0,0.2,6.4
235,Jeff Teague,2.6,9.2,0.4,9.7
236,Jeff Withey,0.9,33.3,0.1,4.4
237,Jerami Grant,2.9,32.0,0.3,5.9
238,Jeremy Evans,0.0,0.0,0.0,0.0
239,Jeremy Lamb,3.4,16.7,0.5,5.8
240,Jeremy Lin,0.0,0.0,1.0,0.0
241,Jerian Grant,1.9,12.1,0.4,7.5
