,Unnamed: 0_x,PLAYER,DREB%,%DREB,STL%,%BLK,Unnamed: 0_y,TEAM,AGE,GP,MIN,SCREEN_AST,DEFL,LB_REC,CHARGES_DRAWN,CONT_2PT,CONT_3PT,CONT_ALL,Unnamed: 0,DIST_MI_DEF,AVG_SPEED_DEF
66,66,Patrick Beverley,9.2,13.3,29.7,19.2,412,LAC,29,11,30.0,0.1,2.3,1.9,0.45,2.5,2.1,4.5,411.0,1.07,4.21
67,67,Justise Winslow,17.8,25.2,20.8,18.2,287,MIA,22,68,25.0,0.7,1.5,1.2,0.01,4.1,2.9,7.0,286.0,0.84,4.15
68,68,E'Twaun Moore,6.5,9.5,17.9,3.6,146,NOP,29,82,32.0,0.2,1.7,1.3,0.00,4.0,2.4,6.4,145.0,1.13,4.13
69,69,DeMar DeRozan,9.1,13.0,22.0,6.7,112,TOR,28,80,34.0,0.1,1.8,1.1,0.03,2.2,1.6,3.8,111.0,1.06,3.77
70,70,Carmelo Anthony,15.8,22.6,10.0,20.7,65,OKC,34,78,32.0,0.8,1.4,0.7,0.00,3.8,3.4,7.1,64.0,0.95,3.45
71,71,Damion Lee,13.8,18.3,31.1,3.3,89,ATL,25,15,27.0,0.0,1.7,1.3,0.00,1.9,2.8,4.7,88.0,0.97,4.43
72,72,Dion Waiters,7.8,11.0,16.3,10.3,133,MIA,26,30,31.0,0.3,1.5,0.7,0.00,4.2,3.0,7.2,132.0,0.94,3.81
73,73,Derrick Williams,14.3,14.3,0.0,0.0,126,LAL,27,2,4.0,0.0,0.0,0.0,0.00,0.5,0.5,1.0,125.0,0.14,3.96
74,74,Clint Capela,27.8,38.4,16.7,58.1,75,HOU,24,74,27.0,3.0,1.0,1.2,0.11,10.4,2.6,12.9,74.0,0.9,3.94
75,75,Blake Griffin,17.5,25.4,12.9,9.9,42,DET,29,58,34.0,2.9,1.4,1.1,0.21,5.8,3.9,9.7,41.0,1.0,3.57
76,76,Tyreke Evans,13.7,20.8,23.0,9.5,510,MEM,28,52,31.0,0.1,1.9,1.3,0.00,2.6,3.3,5.8,509.0,0.9,3.57
77,77,Gerald Green,12.4,17.3,16.6,15.8,172,HOU,32,41,23.0,0.2,1.1,0.8,0.02,3.1,2.2,5.3,171.0,0.76,4.08
78,78,Nikola Mirotic,21.3,31.0,17.0,22.2,398,NOP,27,55,27.0,0.8,1.7,1.2,0.07,5.8,3.3,9.1,397.0,0.93,3.94
79,79,Wayne Ellington,9.4,13.5,17.7,3.5,521,MIA,30,77,27.0,0.6,1.1,0.8,0.00,2.2,2.7,4.9,520.0,0.86,4.0
80,80,Myles Turner,17.4,25.6,10.7,58.7,385,IND,22,65,28.0,4.0,1.6,0.8,0.05,7.8,2.3,10.0,384.0,0.94,3.97
81,81,Kristaps Porzingis,15.4,22.4,17.5,57.5,309,NYK,22,48,32.0,2.3,1.5,1.0,0.15,9.4,4.3,13.7,308.0,1.02,3.81
82,82,Dante Exum,8.3,12.4,20.0,8.1,96,UTA,22,14,17.0,0.1,1.0,0.7,0.14,2.0,2.1,4.1,95.0,0.61,4.21
83,83,Royce O'Neale,17.5,24.5,19.1,11.8,442,UTA,25,69,17.0,0.1,1.0,0.6,0.00,2.1,1.4,3.5,441.0,0.56,4.13
84,84,Hassan Whiteside,31.7,44.8,18.2,54.7,182,MIA,29,54,25.0,3.1,1.1,0.9,0.02,8.6,1.0,9.6,181.0,0.79,3.92
85,85,Stanley Johnson,11.5,16.5,28.9,10.4,464,DET,22,69,27.0,0.1,2.1,1.0,0.00,2.9,2.3,5.2,463.0,0.94,4.15
86,86,Marcus Morris,16.6,24.2,16.7,9.0,350,BOS,28,54,27.0,0.9,0.9,0.9,0.04,3.4,2.3,5.8,349.0,0.83,3.82
87,87,Aaron Jackson,3.1,4.3,0.0,0.0,3,HOU,32,1,35.0,0.0,4.0,0.0,0.00,0.0,0.0,0.0,,,
88,88,Brandon Ingram,12.1,17.7,14.3,20.2,50,LAL,20,59,33.0,0.2,1.8,1.0,0.02,4.5,4.2,8.8,49.0,1.13,3.95
89,89,Nikola Jokic,25.4,35.6,23.5,28.1,397,DEN,23,75,33.0,4.3,2.5,1.2,0.11,9.5,3.1,12.6,396.0,0.98,3.66
90,90,Kemba Walker,7.7,10.5,24.3,9.0,295,CHA,28,80,34.0,0.2,1.9,1.3,0.30,4.3,3.7,8.0,294.0,1.06,3.73
91,91,Fred VanVleet,10.2,15.5,25.4,8.6,164,TOR,24,76,20.0,0.3,1.7,1.0,0.08,2.0,1.7,3.7,163.0,0.73,4.3
92,92,CJ Miles,9.7,15.1,16.2,11.2,61,TOR,31,70,19.0,0.2,1.1,0.5,0.09,1.6,1.7,3.3,60.0,0.6,3.79
93,93,Stephen Curry,12.4,18.5,27.9,3.3,465,GSW,30,51,32.0,0.7,2.7,1.7,0.08,2.3,2.3,4.6,464.0,1.13,3.95
94,94,Kelly Olynyk,20.0,28.5,20.7,20.8,293,MIA,27,76,23.0,2.7,1.9,0.8,0.20,5.7,2.1,7.8,292.0,0.76,3.98
95,95,Jonathan Isaac,14.1,21.1,35.9,44.1,264,ORL,20,27,20.0,0.5,2.2,0.7,0.15,5.6,1.7,7.3,263.0,0.66,4.08
96,96,Kentavious Caldwell-Pope,12.7,18.1,27.2,6.3,299,LAL,25,74,33.0,0.1,2.3,1.4,0.08,2.4,1.9,4.2,298.0,1.14,4.03
97,97,Andre Drummond,32.9,46.6,27.3,59.3,19,DET,24,78,34.0,4.7,3.2,1.2,0.01,9.2,2.0,11.2,18.0,1.12,4.01
98,98,Serge Ibaka,18.3,25.6,10.1,39.9,453,TOR,28,76,28.0,1.4,0.8,0.6,0.03,6.4,2.6,9.0,452.0,0.88,3.88
99,99,Pascal Siakam,16.8,25.2,20.5,19.2,410,TOR,24,81,21.0,1.0,1.4,1.0,0.00,4.2,2.2,6.4,409.0,0.73,4.18
100,100,Marcin Gortat,21.3,30.3,11.7,32.3,347,WAS,34,82,25.0,4.5,0.7,0.6,0.26,7.4,1.5,8.9,346.0,0.85,4.06
101,101,Patty Mills,6.1,9.0,16.5,4.4,415,SAS,29,82,26.0,0.2,1.3,0.9,0.04,1.6,1.6,3.1,414.0,0.85,4.1
102,102,Evan Turner,10.0,14.4,17.3,13.6,160,POR,29,79,26.0,0.2,1.0,0.8,0.00,3.0,2.4,5.4,159.0,0.83,4.01
103,103,Dorian Finney-Smith,12.1,16.9,15.2,12.5,137,DAL,25,21,21.0,0.2,0.9,0.7,0.05,2.6,2.0,4.7,136.0,0.73,4.24
104,104,Vander Blue,2.2,2.9,8.3,0.0,515,LAL,25,5,9.0,0.2,0.6,0.0,0.00,1.0,0.8,1.8,514.0,0.3,3.61
105,105,Delon Wright,10.7,15.9,27.7,16.3,116,TOR,26,69,21.0,0.2,2.0,0.9,0.09,2.8,1.6,4.4,115.0,0.73,4.25
106,106,Khris Middleton,13.3,19.8,21.1,6.2,304,MIL,26,82,36.0,0.7,2.7,1.3,0.13,3.7,3.6,7.3,303.0,1.2,3.82
107,107,Gary Harris,6.1,8.8,31.3,6.8,167,DEN,23,67,34.0,0.1,3.0,1.4,0.06,2.5,2.9,5.4,166.0,1.12,3.99
108,108,Larry Nance Jr.,19.9,29.7,30.0,28.6,323,CLE,25,66,22.0,2.0,2.4,1.0,0.03,5.2,1.9,7.1,322.0,0.77,4.11
109,109,James Johnson,14.8,21.6,23.0,23.0,219,MIA,31,73,27.0,1.9,1.9,1.0,0.00,4.7,2.9,7.6,218.0,0.87,3.98
110,110,Rudy Gay,17.5,25.1,25.3,30.9,443,SAS,31,57,22.0,0.5,1.6,1.0,0.05,3.9,2.6,6.6,442.0,0.71,4.1
111,111,Langston Galloway,8.9,12.7,23.8,7.1,321,DET,26,58,15.0,0.1,0.9,0.6,0.02,1.4,1.5,3.0,320.0,0.52,4.14
112,112,T.J. McConnell,10.0,15.0,32.9,6.8,468,PHI,26,76,22.0,0.2,2.3,1.1,0.01,2.1,1.6,3.7,467.0,0.82,4.32
113,113,Eric Bledsoe,10.0,15.2,32.4,15.0,154,MIL,28,74,31.0,0.5,3.4,1.4,0.04,4.0,3.0,7.0,153.0,1.06,3.92
114,114,Aaron Gordon,19.1,27.7,18.4,22.5,1,ORL,22,58,33.0,0.9,1.4,1.2,0.07,4.7,1.8,6.5,1.0,1.07,3.88
115,115,Bam Adebayo,19.4,27.0,15.9,26.8,37,MIA,20,69,20.0,2.9,1.1,0.7,0.01,4.8,1.8,6.7,36.0,0.65,4.06
116,116,Kyle Kuzma,15.4,22.7,13.6,15.4,313,LAL,22,77,31.0,0.7,1.0,0.7,0.08,6.0,3.2,9.2,312.0,1.07,4.03
117,117,Jerryd Bayless,6.6,9.9,13.4,5.9,243,PHI,29,39,24.0,0.1,1.0,0.8,0.05,3.0,2.2,5.2,242.0,0.81,4.02
118,118,Iman Shumpert,11.3,17.0,23.1,16.7,187,SAC,28,14,20.0,0.4,1.9,0.9,0.00,1.6,1.9,3.4,186.0,0.73,4.4
119,119,Nene,15.6,21.6,17.0,24.6,389,HOU,35,52,15.0,2.0,1.4,0.5,0.04,3.5,1.9,5.4,388.0,0.5,3.99
120,120,Raul Neto,7.9,10.9,14.9,6.2,427,UTA,26,41,12.0,0.2,0.5,0.6,0.07,2.1,1.5,3.6,426.0,0.41,4.23
121,121,Nikola Vucevic,24.9,35.1,18.2,42.2,399,ORL,27,57,30.0,3.7,1.9,0.6,0.02,8.1,1.7,9.8,398.0,0.94,3.84
122,122,Dwyane Wade,12.4,18.4,26.2,32.4,145,MIA,36,67,23.0,0.3,1.9,0.9,0.01,2.7,2.3,5.0,144.0,0.73,3.79
123,123,Reggie Jackson,8.4,12.1,13.4,5.3,431,DET,28,45,27.0,0.3,1.3,1.0,0.09,2.3,3.0,5.3,430.0,0.86,3.95
124,124,Will Barton,12.6,18.3,19.5,18.6,526,DEN,27,81,33.0,0.1,1.8,1.0,0.00,3.4,2.7,6.1,525.0,1.04,3.85
125,125,Jacob Wiley,22.5,26.5,20.0,0.0,206,BKN,23,5,7.0,0.4,0.2,0.2,0.00,1.6,0.6,2.2,205.0,0.28,4.01
126,126,DeMarre Carroll,16.5,24.3,20.4,13.2,114,BKN,31,73,30.0,0.6,1.7,1.3,0.05,4.9,2.4,7.3,113.0,0.95,3.95
127,127,Shabazz Napier,9.0,13.0,37.0,9.1,455,POR,26,74,21.0,0.1,2.0,0.8,0.03,1.9,1.7,3.7,454.0,0.65,3.93
128,128,Mario Chalmers,10.4,15.7,30.9,9.9,353,MEM,32,66,22.0,0.2,1.9,0.9,0.20,1.4,1.3,2.7,352.0,0.65,3.72
129,129,Andrew Wiggins,9.4,14.0,17.3,18.2,26,MIN,23,82,36.0,0.2,1.7,1.1,0.00,4.3,4.7,9.0,25.0,1.14,3.92
130,130,OG Anunoby,9.0,12.6,24.0,7.5,402,TOR,20,74,20.0,0.1,1.3,0.6,0.03,3.0,2.2,5.2,401.0,0.72,4.36
131,131,Reggie Bullock,7.2,10.3,18.2,8.6,429,DET,27,62,28.0,0.2,1.2,0.9,0.03,2.7,2.8,5.5,428.0,0.96,4.16
132,132,Mindaugas Kuzminskas,0.0,0.0,0.0,0.0,380,NYK,28,1,2.0,-,-,-,-,-,-,-,379.0,0.07,4.46
133,133,Amir Johnson,16.9,23.5,19.7,40.4,18,PHI,31,74,16.0,2.5,1.0,0.7,0.08,4.7,0.8,5.5,17.0,0.54,3.98
134,134,John Henson,18.5,26.9,12.8,42.6,255,MIL,27,76,26.0,2.7,1.5,0.5,0.00,7.9,1.7,9.6,254.0,0.88,3.92
135,135,Cory Joseph,10.1,14.7,20.9,9.9,79,IND,26,82,27.0,0.3,1.5,0.9,0.07,3.0,3.5,6.5,78.0,0.99,4.43
136,136,Rajon Rondo,12.4,18.5,23.8,4.4,424,NOP,32,65,26.0,0.6,2.0,1.2,0.03,1.4,1.9,3.3,423.0,0.89,3.95
137,137,Luke Kennard,10.4,14.9,20.2,9.6,334,DET,22,73,20.0,0.1,0.9,0.6,0.01,2.0,2.0,4.0,333.0,0.67,4.06
138,138,JaKarr Sampson,16.1,23.2,14.3,51.2,199,SAC,25,22,16.0,0.3,0.9,0.5,0.05,3.4,2.0,5.4,198.0,0.53,4.14
139,139,Kyle Korver,9.3,13.7,13.2,18.4,312,CLE,37,73,22.0,0.8,0.7,0.6,0.05,3.0,2.4,5.3,311.0,0.76,4.12
140,140,Dwight Howard,29.5,40.8,14.7,49.6,143,CHA,32,81,30.0,4.2,1.6,0.6,0.00,7.2,1.6,8.8,142.0,0.94,3.73
141,141,Karl-Anthony Towns,27.2,39.7,13.0,43.1,290,MIN,22,82,36.0,2.6,1.4,1.4,0.21,11.5,2.9,14.4,289.0,1.14,3.98
142,142,Ish Smith,9.5,13.5,20.4,10.9,193,DET,29,82,25.0,0.1,1.4,1.1,0.13,2.8,2.0,4.9,192.0,0.87,4.21
143,143,Taj Gibson,14.6,21.5,12.9,22.7,471,MIN,33,82,33.0,2.5,1.3,1.1,0.00,6.4,4.2,10.6,470.0,1.08,4.05
144,144,Paul Millsap,15.3,22.7,20.4,37.6,418,DEN,33,38,30.0,0.8,2.2,1.3,0.24,7.2,3.5,10.6,417.0,0.93,3.82
145,145,Bryn Forbes,6.5,9.4,12.2,1.3,57,SAS,24,80,19.0,0.1,0.5,0.5,0.00,1.8,1.6,3.4,56.0,0.64,4.11
146,146,Dillon Brooks,9.2,13.5,20.6,7.9,132,MEM,22,82,29.0,0.1,1.7,0.8,0.06,3.7,3.9,7.6,131.0,0.98,4.19
147,147,Ersan Ilyasova,16.1,23.9,21.8,14.0,158,PHI,31,69,25.0,1.8,1.7,0.9,0.46,4.6,2.2,6.8,157.0,0.83,3.92
148,148,Domantas Sabonis,22.7,33.1,12.5,25.0,135,IND,22,74,24.0,3.8,1.0,0.7,0.03,6.5,1.9,8.3,134.0,0.83,4.06
149,149,Darren Collison,7.2,10.5,23.0,7.8,101,IND,30,69,29.0,0.2,2.3,1.1,0.00,1.9,2.8,4.7,100.0,0.99,4.07
150,150,Ryan Anderson,13.9,19.3,8.7,13.5,446,HOU,30,66,26.0,1.1,0.6,0.6,0.09,4.8,2.1,6.9,445.0,0.84,3.89
151,151,Kevin Durant,16.9,25.6,13.3,33.7,300,GSW,29,68,34.0,0.6,1.5,1.0,0.04,6.3,3.4,9.7,299.0,1.08,3.62
152,152,Justin Holiday,11.4,15.2,22.5,17.5,284,CHI,29,72,31.0,0.3,2.2,0.9,0.01,4.4,3.6,7.9,283.0,1.09,4.09
153,153,Nigel Hayes,14.5,20.0,12.5,37.5,395,SAC,23,9,14.0,0.6,0.8,0.6,0.00,2.1,0.8,2.9,394.0,0.43,3.88
154,154,Dwight Powell,19.0,27.2,25.7,33.0,144,DAL,26,79,21.0,2.1,1.7,0.9,0.09,5.5,3.1,8.6,143.0,0.71,4.12
155,155,Joe Johnson,13.0,18.7,8.7,6.1,249,HOU,37,55,22.0,0.4,0.7,0.7,0.00,2.4,2.8,5.2,248.0,0.66,3.77
156,156,Anthony Tolliver,10.9,15.6,11.7,15.4,30,DET,33,79,22.0,1.5,0.7,0.7,0.23,3.9,2.4,6.3,29.0,0.73,3.92
157,157,Milos Teodosic,9.0,13.4,14.3,5.4,378,LAC,31,45,25.0,0.4,1.3,0.9,0.18,3.0,2.0,5.0,377.0,0.84,3.91
158,158,Tyrone Wallace,9.1,13.6,18.4,14.8,511,LAC,24,30,28.0,0.2,1.8,1.3,0.00,4.3,3.5,7.8,510.0,1.02,4.22
159,159,Frank Ntilikina,7.9,11.7,25.6,9.4,163,NYK,19,78,22.0,0.1,1.6,0.7,0.01,3.0,1.8,4.8,162.0,0.73,4.06
160,160,Doug McDermott,8.7,12.7,7.4,9.0,138,DAL,26,81,22.0,0.2,0.5,0.5,0.00,2.0,2.1,4.1,137.0,0.77,4.34
161,161,Avery Bradley,6.8,9.8,22.4,7.5,36,LAC,27,46,31.0,0.3,1.9,0.9,0.11,2.0,3.0,5.0,35.0,1.11,4.31
162,162,Tomas Satoransky,9.9,14.2,20.2,10.6,487,WAS,26,73,23.0,0.1,1.4,0.9,0.07,2.7,2.1,4.8,486.0,0.8,4.37
163,163,Dirk Nowitzki,22.7,31.7,16.3,38.8,134,DAL,40,77,25.0,2.0,1.0,0.4,0.00,5.6,1.6,7.2,133.0,0.67,3.39
