,PLAYER,6FREQ,6DFGM,6DFGA,6DFG%
186,Trevor Ariza,33.0%,1.9,2.7,69.9
187,Lucas Nogueira,50.0%,1.3,2.7,50.0
188,Noah Vonleh,38.7%,1.7,2.6,63.6
189,JaKarr Sampson,42.6%,1.1,2.6,39.7
190,Kentavious Caldwell-Pope,28.6%,1.8,2.6,68.9
191,Jayson Tatum,32.2%,1.6,2.6,58.9
192,Goran Dragic,31.0%,1.5,2.6,58.5
193,Isaiah Hicks,44.4%,1.7,2.6,63.6
194,Quincy Acy,34.3%,1.5,2.6,56.6
195,Kelly Oubre Jr.,31.1%,1.8,2.6,70.7
196,JaMychal Green,29.8%,1.6,2.6,61.0
197,Kyrie Irving,27.4%,1.9,2.6,73.8
198,Ben Simmons,22.2%,1.4,2.6,55.6
199,Denzel Valentine,27.7%,1.8,2.6,68.6
200,Wilson Chandler,27.2%,1.4,2.6,55.0
201,Dwight Powell,27.3%,1.6,2.5,64.1
202,JaVale McGee,43.4%,1.3,2.5,53.4
203,Tarik Black,46.3%,1.2,2.5,48.4
204,Austin Rivers,25.7%,1.7,2.5,65.6
205,Russell Westbrook,30.8%,1.6,2.5,61.3
206,Willie Reed,49.5%,1.3,2.5,50.0
207,Willy Hernangomez,48.4%,1.4,2.5,57.8
208,Pascal Siakam,33.1%,1.4,2.5,54.2
209,Nene,35.0%,1.5,2.5,58.7
210,Georgios Papagiannis,53.6%,2.0,2.5,81.1
211,Kemba Walker,18.0%,1.7,2.5,67.9
212,Zach Collins,35.9%,1.2,2.4,47.0
213,Jamil Wilson,30.4%,1.6,2.4,67.6
214,Jamel Artis,36.3%,1.8,2.4,72.4
215,Kyle Korver,30.8%,1.6,2.4,67.6
216,Alan Williams,52.2%,1.4,2.4,58.3
217,Ricky Rubio,25.5%,1.7,2.4,72.3
218,Kent Bazemore,27.0%,1.5,2.4,62.5
219,Caris LeVert,24.4%,1.5,2.4,65.2
220,De'Aaron Fox,24.7%,1.5,2.4,61.8
221,Luke Babbitt,34.5%,1.5,2.4,64.9
222,David Nwaba,25.9%,1.6,2.4,69.3
223,Dennis Schroder,22.8%,1.7,2.4,74.2
224,TJ Warren,26.0%,1.6,2.3,66.7
225,Jaylen Brown,25.0%,1.5,2.3,62.4
226,Jack Cooley,38.9%,1.5,2.3,64.3
227,George Hill,27.2%,1.6,2.3,69.2
228,Joe Harris,28.2%,1.5,2.3,63.7
229,Johnathan Motley,39.7%,1.2,2.3,52.2
230,Frank Ntilikina,31.2%,1.5,2.3,63.3
231,Donovan Mitchell,23.7%,1.4,2.3,62.4
232,Rodney Hood,31.4%,1.6,2.3,69.1
233,Darius Miller,28.1%,1.5,2.3,64.2
234,Solomon Hill,36.5%,1.7,2.3,74.1
235,Paul Zipser,35.3%,1.5,2.2,67.0
236,Jeff Teague,23.6%,1.6,2.2,69.4
237,Ante Zizic,45.4%,1.2,2.2,55.1
238,Brandan Wright,46.0%,1.2,2.2,53.4
239,Dwyane Wade,29.2%,1.4,2.2,62.4
240,Briante Weber,36.0%,1.9,2.2,83.9
241,Bogdan Bogdanovic,26.2%,1.5,2.2,67.4
242,Tyler Cavanaugh,40.5%,1.6,2.2,70.7
243,Iman Shumpert,33.7%,1.6,2.2,74.2
244,Bojan Bogdanovic,23.9%,1.6,2.2,73.6
245,Tomas Satoransky,29.5%,1.4,2.2,65.4
246,Thabo Sefolosha,28.5%,1.5,2.2,67.5
247,Nigel Hayes,36.1%,1.2,2.2,53.8
248,Jordan Clarkson,28.8%,1.5,2.2,70.3
249,Nicolas Batum,26.1%,1.4,2.1,63.5
250,Joffrey Lauvergne,47.3%,1.6,2.1,74.0
251,CJ McCollum,19.2%,1.4,2.1,65.3
252,Reggie Bullock,24.5%,1.5,2.1,71.1
253,Joe Johnson,29.4%,1.5,2.1,69.2
254,Josh Huestis,35.0%,1.2,2.1,55.9
255,James Webb III,50.0%,1.7,2.1,78.9
256,Myke Henry,32.1%,1.5,2.1,71.4
257,JR Smith,25.9%,1.5,2.1,69.6
258,Tyreke Evans,25.0%,1.4,2.1,65.4
259,Patrick Patterson,35.9%,1.3,2.1,62.7
260,Stanley Johnson,25.9%,1.4,2.1,65.3
261,Mike Conley,21.1%,1.3,2.1,60.9
262,Derrick White,43.5%,1.2,2.1,59.3
263,Ish Smith,22.8%,1.3,2.1,63.1
264,Cory Joseph,21.6%,1.3,2.1,63.5
265,Timofey Mozgov,37.0%,1.0,2.1,50.0
266,Damion Lee,25.2%,1.5,2.1,71.0
267,Zhou Qi,49.3%,0.9,2.1,42.4
268,Stephen Curry,24.1%,1.6,2.1,76.7
269,D'Angelo Russell,27.3%,1.5,2.1,73.7
270,Tony Snell,24.8%,1.5,2.0,72.5
271,Kyle Collinsworth,35.1%,1.1,2.0,55.9
272,Okaro White,35.7%,1.0,2.0,50.0
273,Xavier Rathan-Mayes,22.2%,1.6,2.0,80.0
274,Kendrick Perkins,66.7%,2.0,2.0,100
275,Xavier Silas,66.7%,0.0,2.0,0.0
276,Marcus Smart,23.1%,1.3,2.0,63.7
277,Marshall Plumlee,52.6%,1.6,2.0,80.0
278,Garrett Temple,25.0%,1.3,2.0,63.1
279,Matt Costello,50.0%,1.0,2.0,50.0
280,Damian Lillard,19.2%,1.2,2.0,61.4
281,Jerian Grant,26.4%,1.2,2.0,61.5
282,Trevor Booker,28.9%,1.2,2.0,60.3
283,Vince Carter,34.2%,1.1,2.0,54.1
284,Evan Turner,22.8%,1.1,2.0,56.6
285,Darrell Arthur,56.4%,1.3,1.9,67.7
286,Yogi Ferrell,22.6%,1.4,1.9,74.2
287,Corey Brewer,18.6%,1.2,1.9,60.0
288,Markelle Fultz,26.7%,1.0,1.9,51.9
289,Travis Wear,29.6%,1.1,1.9,58.6
290,Allen Crabbe,22.9%,1.2,1.9,63.1
291,Sindarius Thornwell,29.2%,1.3,1.9,65.9
292,Johnny O'Bryant III,40.6%,1.5,1.9,76.1
293,Boban Marjanovic,41.4%,1.1,1.9,55.6
294,Delon Wright,29.1%,1.3,1.9,66.4
